ORD;LOGRADOURO;NÚMERO;id_imovel;ZONA;TIPO;STATUS;COMPLEMENTO;RISCO;bairro;PROCESSO;EDITAL;FOTO;LONGITUDE;LATITUDE
277;Rua 7 de Setembro;433;Rua 7 de Setembro, Número 433 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005761/2024-35;130-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-130-2024.jpg;-42,81416258;-5,086724647
278;Rua 7 de Setembro;417;Rua 7 de Setembro, Número 417 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005762/2024-80;131-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-131-2024.jpg;-42,81400473;-5,087362951
107;Rua Eliseu Martins;S/Nº;Rua Eliseu Martins, Número S/Nº (Em frente ao nº 2015), Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;(Em frente ao nº 2015);;Centro;00027.005637/2024-70;45-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-45-2024.jpg;-42,8083178;-5,08627747
279;Rua 7 de Setembro;150;Rua 7 de Setembro, Número 150 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005763/2024-24;132-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-132-2024.jpg;-42,81394794;-5,087641736
108;Rua Eliseu Martins;S/Nº;Rua Eliseu Martins, Número S/Nº (Em frente à quadra de tênis do 25º BC), Bairro Centro - Teresina/PI;Norte;Prédio;Abandonado;(Em frente à quadra de tênis do 25º BC);;Centro;00027.005638/2024-14;46-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-46-2024.jpg;-42,80490416;-5,08455531
280;Rua 7 de Setembro;64;Rua 7 de Setembro, Número 64 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005764/2024-79;133-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-133-2024.jpg;-42,81263019;-5,08962506
281;Rua 7 de Setembro;162;Rua 7 de Setembro, Número 162 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005766/2024-68;134-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-134-2024.jpg;-42,81223914;-5,090324305
300;Rua 24 de Janeiro;500;Rua 24 de Janeiro, Número 500 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005780/2024-61;143-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-143-2024.jpg;-42,81283021;-5,088101716
144;Rua Paissandu;S/Nº;Rua Paissandu, Número S/Nº (Ao lado do nº 1390), Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;(Ao lado do nº 1390);;Centro;00027.005646/2024-61;54-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-54-2024.jpg;-42,812021;-5,09199725
301;Rua 24 de Janeiro;603;Rua 24 de Janeiro, Número 603 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005781/2024-14;144-2023;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-144-2023.jpg;-42,81346705;-5,086389476
325;Rua Arêa Leão;417;Rua Arêa Leão, Número 417 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005798/2024-63;161-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-161-2024.jpg;-42,81062963;-5,08524953
147;Rua Félix Pacheco;S/Nº;Rua Félix Pacheco, Número S/Nº (Em frente ao nº 1780), Bairro Centro - Teresina/PI;Sul;Casa;Abandonado;(Em frente ao nº 1780);;Centro;00027.005649/2024-02;56-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-56-2024.jpg;-42,80831743;-5,09096296
